# 增强词组表（个人修正版）— 繁体→简体
# 解析自 a5566123s/Calibre-BIG5toGBK 的 Calibre 查找替换表（csr）
# 上游：https://github.com/a5566123s/Calibre-BIG5toGBK （原帖 hi-pda 论坛，已失效）
# 格式：繁体原文	简体译文（与 OpenCC 字典一致）；
# 作为繁→简方向的可选“增强词表”优先词层（词组优先于 OpenCC 默认词表）
錒	锕
鎄	锿
皚	皑
藹	蔼
靄	霭
愛	爱
噯	嗳
嬡	嫒
璦	瑷
曖	暧
礙	碍
鑀	锿
鞌	鞍
諳	谙
鵪	鹌
垵	埯
銨	铵
骯	肮
爊	熬
厫	廒
翶	翱
鰲	鳌
鼇	鳌
媼	媪
襖	袄
抝	拗
垇	坳
奧	奥
慠	傲
嶴	岙
驁	骜
罷	罢
鮁	鲅
覇	霸
壩	坝
栢	柏
擺	摆
襬	摆
敗	败
頒	颁
阪	坂
岅	坂
鈑	钣
闆	板
絆	绊
辦	办
幇	帮
幚	帮
幫	帮
綁	绑
牓	榜
蜯	蚌
謗	谤
鎊	镑
襃	褒
齙	龅
飽	饱
鴇	鸨
緥	褓
寳	宝
寶	宝
菢	抱
報	报
鉋	铇
鮑	鲍
鑤	刨
盃	杯
桮	杯
揹	背
鵯	鹎
貝	贝
俻	备
狽	狈
備	备
誖	悖
輩	辈
鋇	钡
憊	惫
唄	呗
逩	奔
賁	贲
錛	锛
綳	绷
繃	绷
逬	迸
鏰	镚
偪	逼
鰏	鲾
粃	秕
筆	笔
畢	毕
閉	闭
詖	诐
蓽	荜
嗶	哔
鉍	铋
痺	痹
幣	币
獘	毙
潷	滗
篳	筚
蹕	跸
斃	毙
贔	赑
編	编
邊	边
鯿	鳊
籩	笾
貶	贬
徧	遍
緶	缏
辮	辫
辯	辩
變	变
颮	飑
標	标
飚	飙
鏢	镖
臕	膘
驃	骠
飆	飚
飈	飚
鑣	镳
驫	骉
錶	表
鰾	鳔
鱉	鳖
鼈	鳖
龞	鳖
別	别
癟	瘪
彆	别
賓	宾
儐	傧
濱	滨
璸	瑸
檳	槟
瀕	濒
繽	缤
鑌	镔
髩	鬓
鬂	鬓
擯	摈
殯	殡
臏	膑
髕	髌
鬢	鬓
氷	冰
梹	槟
稟	禀
餅	饼
幷	并
併	并
並	并
倂	并
竝	并
盋	钵
剝	剥
缽	钵
鉢	钵
撥	拨
餑	饽
鈸	钹
鉑	铂
愽	博
駁	驳
駮	驳
鮊	鲌
襏	袯
鵓	鹁
鎛	镈
餺	馎
蔔	卜
鈽	钸
補	补
鈈	钚
財	财
倸	睬
採	采
寀	采
跴	踩
綵	彩
埰	采
叄	叁
參	参
湌	餐
飱	飧
驂	骖
殘	残
慚	惭
慙	惭
蠶	蚕
慘	惨
黲	黪
燦	灿
倉	仓
蒼	苍
滄	沧
艙	舱
鶬	鸧
艸	艹
冊	册
厠	厕
側	侧
廁	厕
測	测
惻	恻
筞	策
層	层
揷	插
鍤	锸
餷	馇
査	查
詧	察
鑔	镲
奼	姹
詫	诧
釵	钗
儕	侪
蠆	虿
覘	觇
摻	掺
攙	搀
嬋	婵
禪	禅
蟬	蝉
纏	缠
讒	谗
鑱	镵
饞	馋
產	产
産	产
剷	铲
滻	浐
蕆	蒇
諂	谄
鏟	铲
闡	阐
囅	冁
剗	刬
懺	忏
顫	颤
倀	伥
閶	阊
錩	锠
鯧	鲳
長	长
萇	苌
場	场
甞	尝
腸	肠
塲	场
嘗	尝
膓	肠
嚐	尝
償	偿
鱨	鲿
厰	厂
廠	厂
悵	怅
暢	畅
鈔	钞
鼂	鼌
謿	嘲
車	车
硨	砗
撦	扯
徹	彻
陳	陈
塵	尘
諶	谌
磣	碜
趂	趁
齔	龀
櫬	榇
襯	衬
讖	谶
傖	伧
稱	称
撐	撑
赬	赪
檉	柽
蟶	蛏
乗	乘
堘	塍
棖	枨
椉	乘
誠	诚
鋮	铖
懲	惩
騁	骋
喫	吃
鴟	鸱
癡	痴
竾	篪
馳	驰
遲	迟
恥	耻
齒	齿
勅	敕
翄	翅
飭	饬
熾	炽
沖	冲
衝	冲
蟲	虫
寵	宠
銃	铳
紬	䌷
酧	酬
綢	绸
儔	俦
幬	帱
疇	畴
籌	筹
醻	酬
躊	踌
讐	雠
讎	雠
醜	丑
矁	瞅
芻	刍
耡	锄
鋤	锄
廚	厨
雛	雏
櫥	橱
躕	蹰
儲	储
礎	础
処	处
怵	憷
處	处
絀	绌
觸	触
舩	船
傳	传
釧	钏
窓	窗
牎	窗
牕	窗
瘡	疮
窻	窗
牀	床
闖	闯
剏	创
剙	創
創	创
愴	怆
搥	捶
錘	锤
鎚	锤
旾	春
純	纯
脣	唇
湻	淳
蒓	莼
醕	醇
鶉	鹑
惷	蠢
綽	绰
輟	辍
齪	龊
詞	词
甆	瓷
飺	糍
辤	辞
餈	糍
辭	辞
鶿	鹚
鷀	鹚
賜	赐
囪	囱
怱	匆
悤	匆
蔥	葱
蓯	苁
樅	枞
聰	聪
驄	骢
從	从
叢	丛
湊	凑
輳	辏
麁	粗
麤	粗
蹵	蹴
攛	撺
躥	蹿
鑹	镩
欑	攒
簒	篡
竄	窜
脃	脆
鹺	鹾
銼	锉
錯	错
畣	答
墶	垯
噠	哒
迖	达
剳	劄
達	达
薘	荙
韃	鞑
躂	跶
獃	呆
軑	轪
帶	带
紿	绐
貸	贷
瑇	玳
靆	叇
躭	耽
單	单
鄲	郸
殫	殚
癉	瘅
簞	箪
撣	掸
擔	担
膽	胆
啗	啖
誕	诞
噉	啖
憚	惮
彈	弹
當	当
噹	当
璫	珰
襠	裆
簹	筜
鐺	铛
擋	挡
檔	档
黨	党
攩	挡
讜	谠
氹	凼
碭	砀
蕩	荡
壋	垱
盪	荡
魛	鱽
島	岛
搗	捣
導	导
擣	捣
禱	祷
盜	盗
惪	德
鍀	锝
燈	灯
鄧	邓
櫈	凳
鐙	镫
隄	堤
廸	迪
滌	涤
敵	敌
鏑	镝
糴	籴
牴	抵
觝	抵
詆	诋
遞	递
蔕	蒂
締	缔
諦	谛
敁	掂
顛	颠
巔	巅
癲	癫
點	点
電	电
鈿	钿
墊	垫
澱	淀
彫	雕
琱	雕
鼦	貂
鵰	雕
鯛	鲷
弔	吊
釣	钓
銱	铞
調	调
窵	窎
絰	绖
蜨	蝶
諜	谍
曡	叠
疉	叠
鰈	鲽
疊	叠
釘	钉
頂	顶
矴	碇
訂	订
飣	饤
椗	碇
鋌	铤
錠	锭
丟	丢
銩	铥
東	东
崬	岽
鶇	鸫
峝	峒
凍	冻
崠	岽
動	动
棟	栋
腖	胨
働	動
兠	兜
荳	豆
鬥	斗
鬦	斗
餖	饾
鬪	斗
竇	窦
鬭	斗
闍	阇
獨	独
匵	椟
瀆	渎
櫝	椟
犢	犊
牘	牍
讀	读
黷	黩
覩	睹
賭	赌
篤	笃
妬	妒
螙	蠹
鍍	镀
蠧	蠹
緞	缎
鍛	锻
斷	断
籪	簖
兌	兑
隊	队
對	对
懟	怼
撴	蹾
墪	墩
噸	吨
燉	炖
鐓	镦
躉	趸
鈍	钝
頓	顿
遯	遁
奪	夺
鐸	铎
朶	朵
躱	躲
綞	缍
嚲	亸
刴	剁
垜	垛
跥	跺
飿	饳
墮	堕
屙	疴
峩	峨
訛	讹
鋨	锇
頟	额
鵝	鹅
鵞	鹅
額	额
譌	讹
戹	厄
阨	厄
堊	垩
軛	轭
惡	恶
蕚	萼
餓	饿
諤	谔
鍔	锷
顎	颚
鶚	鹗
鰐	鳄
齶	腭
鱷	鳄
兒	儿
鴯	鸸
鮞	鲕
尒	尔
爾	尔
鉺	铒
餌	饵
邇	迩
弍	贰
貳	贰
發	发
廢	废
栰	筏
閥	阀
罰	罚
罸	罚
灋	法
琺	珐
髮	发
旛	幡
飜	翻
凣	凡
釩	钒
煩	烦
緐	繁
礬	矾
販	贩
飯	饭
範	范
鈁	钫
魴	鲂
倣	仿
紡	纺
